,distance,length1,length2,length3,length4,length5,length6,length7,length8,length9,length10,length11,length12,length13,yaw_rad,yaw_deg,abs_error_1,perc_error_1,abs_error_2,perc_error_2,abs_error_3,perc_error_3,abs_error_4,perc_error_4,abs_error_5,perc_error_5,abs_error_6,perc_error_6,abs_error_7,perc_error_7,abs_error_8,perc_error_8,abs_error_9,perc_error_9,abs_error_10,perc_error_10,abs_error_11,perc_error_11,abs_error_12,perc_error_12,abs_error_13,perc_error_13
28,6.283510638022692,0.02959826628478693,0.058768774618432176,0.08865211726311244,0.11896477007537626,0.14931289609491236,0.18065931662150783,0.2113617360439025,0.24191406288513473,0.2719421961107942,0.3043765853878031,0.3355651016352732,0.3675316832461524,0.39959234267094357,0.6678554098758704,38.26529631086709,0.0029817145468885933,0.07219647813289572,0.024637366651743008,0.2982732040162592,0.03686489150824861,0.29753746172920587,0.04888010242356611,0.29588439723708293,0.06007582477738943,0.29092409093166793,0.07199394553154201,0.2905324678431881,0.08352590514764463,0.28891700154840755,0.09522149820696843,0.28820066043271314,0.10576065963069625,0.28453231000994417,0.11635333143910664,0.28172719476781266,0.12719768261203795,0.27998609423737164,0.13677561040466224,0.2759798434315219,0.14772031817021614,0.2751356270631703
29,4.110237802357075,0.0278852457663556,0.0555161843405964,0.0839980269989624,0.1122150999191303,0.1422689953087198,0.1712445421195026,0.2010676655274443,0.2307427571520362,0.2616216375440244,0.2927062813423179,0.3238388453675035,0.3556920006995161,0.3879294007619472,0.7076451919661783,40.545082892386965,0.013414754233644403,0.3248124511778306,0.027083815659403605,0.327891230743385,0.03990197300103761,0.3220498224458241,0.052984900080869715,0.3207318406832307,0.06423100469128021,0.31104602756067895,0.07655545788049742,0.3089405079923221,0.08803233447255573,0.3045047889054159,0.09965724284796382,0.3016260376754353,0.11007836245597563,0.2961484058541179,0.12029371865768212,0.29126808391690584,0.13046115463249652,0.2871696117818545,0.13990799930048392,0.28230024071929766,0.14897059923805284,0.2774643308587313
30,2.5631814283401466,0.0275465764603695,0.0558346962888201,0.0845200180313394,0.1137152895632798,0.1434121040033237,0.1736452588888771,0.204980868033095,0.2367900567953692,0.2687729304180018,0.3018756570680019,0.3353948529789789,0.3695695034533216,0.4049567269755878,0.6978245588753755,39.98240206413745,0.013753423539630504,0.33301267650437055,0.026765303711179904,0.32403515388837656,0.039379981968660605,0.317836819763201,0.05148471043672022,0.3116507895685243,0.06308789599667633,0.3055103922357207,0.07415474111112291,0.29925238543633137,0.08411913196690501,0.2909689794773608,0.09360994320463081,0.2833230726532409,0.10292706958199821,0.27690898461662145,0.11112434293199813,0.26906620564648454,0.11890514702102112,0.2617326590821508,0.12603049654667842,0.2542988227334108,0.13194327302441222,0.24575018257480388
31,2.442773801558715,0.0272585669577389,0.0555563734669412,0.0838624772586354,0.1131615263568691,0.1428452807616025,0.1731275676738157,0.204101211711554,0.2353366169743449,0.2676864948559379,0.3009613655961514,0.3344360007913665,0.369187512332263,0.4044370444779455,0.6972152027805659,39.947488531684286,0.014041433042261103,0.3399862722097119,0.027043626533058807,0.3274046795769831,0.040037522741364615,0.3231438477914819,0.05203847364313091,0.31500286708917014,0.06365471923839752,0.30825529897529064,0.07467243232618431,0.3013415348110747,0.08499878828844604,0.2940117201260672,0.09506338302565512,0.2877221035885445,0.10401350514406216,0.27983186748469774,0.11203863440384865,0.2712799864499967,0.11986399920863355,0.26384327362675225,0.12641248766773705,0.2550695877072983,0.13246295552205456,0.2467181142150392
32,2.3355644067218257,0.0274658192329933,0.0549802908046046,0.0834849108406885,0.112335377637549,0.1419371837915641,0.1721654248649592,0.2029131760867321,0.2343447817706004,0.2665371524967153,0.2994988798742423,0.3330176194605923,0.3674986945284591,0.4030009042950228,0.6928410790294421,39.69686970167696,0.013834180767006703,0.33496805731251095,0.027619709195395407,0.3343790459490969,0.04041508915931151,0.32619119579751016,0.052864622362451014,0.3200037673271853,0.06456281620843593,0.31265286299484707,0.07563457513504082,0.3052242741527071,0.08618682391326793,0.2981211480915528,0.09605521822939964,0.2907240261180376,0.10516284750328475,0.28292399113070954,0.11350112012575775,0.27482111410595095,0.12128238053940776,0.26696539850188805,0.12810130547154092,0.2584772103945539,0.13389909570497727,0.24939298883400496
33,1.786851426114796,0.027236413977763,0.0552090022334804,0.0837853717131568,0.1133119974476402,0.1436803654954138,0.1747070907977762,0.2069484890251903,0.2401604242002879,0.2739623466575371,0.3092350919407837,0.345436881994757,0.3828182627816091,0.4214894323032306,0.6922917844935201,39.66539744305904,0.014063586022237003,0.34052266397668285,0.027390997766519605,0.3316101424518112,0.040114628286843215,0.32376616857823415,0.05188800255235981,0.31409202513534995,0.06281963450458622,0.30421130510695504,0.07309290920222383,0.29496734948435765,0.08215151097480972,0.2841629573670346,0.09023957579971212,0.2731222027836323,0.09773765334246293,0.2629476818468198,0.10376490805921634,0.25124675074870784,0.10886311800524306,0.23962825887132524,0.11278173721839096,0.2275660557271811,0.11541056769676944,0.21495728757081287
34,1.5348976353166817,0.0258932949570498,0.0524209428086905,0.0797595133121077,0.1079915430662927,0.1370243466007581,0.1671764480505068,0.1980878210933419,0.2300755638705453,0.2630297347390596,0.2974846115081287,0.3331971323116199,0.3698763284885701,0.4082902254201095,0.678843788829857,38.8948840486209,0.015406705042950202,0.3730437056404407,0.030179057191309505,0.3653638885146429,0.044140486687892305,0.3562589724607934,0.05720845693370731,0.3462981654582767,0.06947565339924192,0.33644384212707945,0.08062355194949322,0.3253573524999726,0.09101217890665814,0.314812102755649,0.10032443612945471,0.303645387801013,0.10867026526094042,0.29236014329012755,0.11551538849187132,0.2796982772200274,0.12110286768838013,0.26657025685313696,0.12572367151142994,0.25367972459933397,0.12860977457989053,0.23954139426315985
35,1.2814140797014189,0.0260951719841862,0.0530685372607791,0.0812144750406928,0.1103455098389865,0.1407502232232442,0.1722933253799716,0.2052027720752834,0.2395664122287659,0.2755752480816884,0.3130283130158773,0.3523339262771874,0.3933245376937488,0.4364429289420359,0.6903014884131228,39.55136187767084,0.015204828015813802,0.36815564202938983,0.029531462739220908,0.35752376197604,0.042685524959307206,0.3445159399459823,0.054854490161013514,0.332048971918968,0.06574977677675581,0.31840085606177143,0.07550667462002841,0.30470813002432773,0.08389722792471663,0.2902014110159689,0.09083358777123413,0.274920059840297,0.09612475191831166,0.2586084259303515,0.09997168698412273,0.2420621960874642,0.10196607372281263,0.22444656333438834,0.10227546230625123,0.2063669538059952,0.10045707105796414,0.18710573860675012
36,1.1565844440234825,0.0248687333253987,0.0507329807581734,0.0774833381988239,0.1053103175676956,0.1344425499392087,0.1646616774200648,0.1961721077434658,0.2289766607547741,0.263320389711533,0.2993470321938627,0.3369951478706533,0.3764582004937665,0.4177811833667368,0.6546616234637478,37.50934803365541,0.016431266674601302,0.3978514933317506,0.031867019241826604,0.38579926442889345,0.04641666180117611,0.37463003875041245,0.059889682432304414,0.36252834402121314,0.07205745006079131,0.3489464893985051,0.08313832257993523,0.33550574083912515,0.09292789225653422,0.32143857577493673,0.10142333924522592,0.3069713657543157,0.10837961028846704,0.29157818210510367,0.11365296780613732,0.27518878403423075,0.11730485212934672,0.25821010814295997,0.11914179950623355,0.24039911119094742,0.11911881663326324,0.22186406525100247
37,1.0232719430022086,0.0269372787167513,0.0547258786385283,0.0837923918035059,0.1140665676305168,0.1457045850750803,0.1786214334605178,0.2129017497902038,0.2487494827554283,0.2863221796154273,0.3257110166563966,0.3667835376824305,0.4101468958703149,0.4555182205288595,0.5727274093345665,32.81486336633217,0.014362721283248704,0.34776564850481123,0.02787412136147171,0.337459096385856,0.040107608196494116,0.32370950925338265,0.051133432369483214,0.3095244090162422,0.060795414924919716,0.29440878898266204,0.06917856653948223,0.2791709707000897,0.07619825020979623,0.2635705645444352,0.08165051724457173,0.24712626284676673,0.08537782038457276,0.22969550816403753,0.08728898334360341,0.21135347056562567,0.08751646231756954,0.19264024282978107,0.08545310412968515,0.17242353537063185,0.08138177947114056,0.15157716422264955
