time,file,result,length
2024-05-07 20:27:09.776700+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030287.png,SUCCESS,0.217168051
2024-05-07 20:27:09.780967+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030291.png,SUCCESS,0.343659847
2024-05-07 20:27:09.784387+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030285.png,SUCCESS,0.237178133
2024-05-07 20:27:09.787771+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030326.png,SUCCESS,0.208191575
2024-05-07 20:27:09.791151+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030332.png,SUCCESS,0.229080251
2024-05-07 20:27:09.794734+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030333.png,SUCCESS,0.233642032
2024-05-07 20:27:09.798279+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030327.png,SUCCESS,0.201741741
2024-05-07 20:27:09.801625+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030284.png,SUCCESS,0.245406956
2024-05-07 20:27:09.805231+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030220.png,SUCCESS,0.26330772
2024-05-07 20:27:09.808672+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030208.png,SUCCESS,0.266023041
2024-05-07 20:27:09.812141+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030340.png,SUCCESS,0.241908064
2024-05-07 20:27:09.815901+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030354.png,SUCCESS,0.276735472
2024-05-07 20:27:09.820405+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030368.png,SUCCESS,0.281922468
2024-05-07 20:27:09.826208+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030355.png,SUCCESS,0.270005424
2024-05-07 20:27:09.831878+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030341.png,SUCCESS,0.236540719
2024-05-07 20:27:09.837251+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030209.png,SUCCESS,0.177617473
2024-05-07 20:27:09.843689+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030221.png,SUCCESS,0.277255546
2024-05-07 20:27:09.849360+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030223.png,SUCCESS,0.277976541
2024-05-07 20:27:09.855326+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030357.png,SUCCESS,0.24294247
2024-05-07 20:27:09.860763+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030342.png,SUCCESS,0.237248453
2024-05-07 20:27:09.866837+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030356.png,SUCCESS,0.257302176
2024-05-07 20:27:09.872899+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030222.png,SUCCESS,0.277315507
2024-05-07 20:27:09.878961+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030226.png,SUCCESS,0.326083568
2024-05-07 20:27:09.884455+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030352.png,SUCCESS,0.282847269
2024-05-07 20:27:09.892965+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030346.png,SUCCESS,0.333541857
2024-05-07 20:27:09.897752+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030347.png,SUCCESS,0.330005598
2024-05-07 20:27:09.904695+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030353.png,SUCCESS,0.289708074
2024-05-07 20:27:09.913912+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030227.png,SUCCESS,0.328111014
2024-05-07 20:27:09.921678+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030219.png,SUCCESS,0.262637835
